Համայնք,Տեղադրման—Ամսաթիվ,Թարմացման—Ամսաթիվ,Գին,Հասցե,Տարածաշրջան,Շինության տիպ,Նորակառույց,Վերելակ,Հարկերի քանակ,Ընդհանուր մակերես,Սենյակների քանակ,Սանհանգույցների քանակ,Առաստաղի բարձրություն,Հարկ,Պատշգամբ,Կահույք,Վերանորոգում,հեռուստացույց,օդորակիչ,ինտերնետ,սառնարան,սալօջախ,միկրոալիքային վառարան,սրճեփ,սպասք լվացող մեքենա,լվացքի մեքենա,ջրատաքացուցիչ,արդուկ,ֆեն,Կարելի է երեխաների հետ,Թույլատրվում են ընտանի կենդանիներ,Կոմունալ վճարումներ,Կանխավճար,դոմոֆոն,կայանատեղի,տեսարան դեպի բակ,տեսարան դեպի փողոց,տեսարան դեպի քաղաք,տեսարան դեպի արարատ,խաղահրապարակ,տեսարան դեպի այգի,դռնապահ,չորացնող մեքենա,Հին–Հայտարարություն,Գին_մեկ_մետրի_համար,Մակերես_մեկ_սենյակի_համար
272642,2024-10-17,06.11.2024,150000,Ավանի 4-րդ փողոցի 1-ին նրբանցք 7/1,Երևան,1,1,2,1,35.0,1,1,2.75,1,4,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,3,3,4,0,1,1,1,0,0,0,0,0,0,20,4285,35
258213,2024-06-09,06.11.2024,300000,Մոնթե Մելքոնյան փողոց,Երևան,3,1,1,17,80.0,3,1,2.7,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,150,3750,26
258213,2024-09-18,06.11.2024,300000,Մոնթե Մելքոնյան փողոց 48,Երևան,3,1,1,17,100.0,3,2,2.75,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,49,3000,33
272642,2024-10-26,06.11.2024,280000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,14,85.0,2,1,2.8,14,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,11,3294,42
230312,2024-10-20,06.11.2024,250000,Արտաշիսյան փողոց,Երևան,1,2,2,5,44.0,2,1,2.7,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,0,0,1,0,0,0,0,0,0,0,17,5681,22
249600,2024-10-20,06.11.2024,160000,Նորաշեն թաղամաս,Երևան,2,2,1,16,50.0,2,1,2.7,11,3,1,4,1,1,1,1,1,0,0,0,1,1,0,0,1,3,3,4,0,0,0,1,0,0,1,0,0,0,17,3200,25
272642,2024-10-24,06.11.2024,280000,Ծարավ Աղբյուր փողոց 61/4,Երևան,3,1,1,9,77.0,2,1,2.8,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,13,3636,38
272642,2024-10-24,06.11.2024,230000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,13,60.0,2,1,2.8,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,13,3833,30
272642,2024-10-20,06.11.2024,300000,Ծարավ Աղբյուրի փողոց,Երևան,3,1,1,10,100.0,3,1,2.8,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,17,3000,33
272642,2024-07-29,06.11.2024,380000,Հրաչյա Աճառյանի փողոց,Երևան,3,1,1,5,40.0,2,1,3.0,1,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,3,3,4,1,1,0,0,1,0,0,0,1,0,100,9500,20
272642,2024-03-22,06.11.2024,270000,Ծարավ Աղբյուրի փողոց,Երևան,3,1,1,14,60.0,2,1,2.8,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,229,4500,30
272642,2024-03-21,06.11.2024,240000,Ծարավ Աղբյուրի փողոց,Երևան,3,1,1,14,60.0,2,1,2.8,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,230,4000,30
272642,2024-10-19,06.11.2024,350000,Ծարավ Աղբյուրի փողոց 61/4,Երևան,3,1,1,10,70.0,2,1,2.8,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,18,5000,35
258213,2024-09-02,06.11.2024,70000,Սվաճյան փողոց,Երևան,1,2,1,9,90.0,4,1,2.5,9,3,1,6,1,0,1,1,1,0,0,0,1,0,1,0,3,3,3,4,1,1,1,1,0,0,0,1,0,0,65,777,22
272642,2024-08-03,06.11.2024,330000,Ծարավ Աղբյուրի փողոց,Երևան,3,1,1,10,100.0,3,1,2.8,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,95,3300,33
272642,2024-05-24,06.11.2024,330000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,14,125.0,4,2,2.8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,166,2640,31
272642,2024-03-21,06.11.2024,290000,Ծարավ Աղբյուրի փողոց,Երևան,3,1,1,14,100.0,3,2,2.75,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,230,2900,33
272642,2024-03-21,06.11.2024,240000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,14,70.0,2,1,2.8,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,230,3428,35
272642,2024-03-09,06.11.2024,260000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,14,110.0,3,1,2.8,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,242,2363,36
272642,2024-03-10,06.11.2024,230000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,14,85.0,2,1,2.8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,241,2705,42
272642,2024-08-03,06.11.2024,300000,Ծարավ աղբյուրի փողոց,Երևան,3,1,1,14,105.0,3,2,2.8,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,95,2857,35
272642,2024-03-11,06.11.2024,240000,Ծարավ Աղբյուրի փողոց,Երևան,3,1,1,9,75.0,2,1,2.8,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,240,3200,37
